part_number,vendor_id,brand,description,category,unit_cost,sell_price,qty_on_hand,qty_reserved,reorder_point,location_bin,core_charge,taxable,active,supersedes_part_number,barcode,notes,last_received_at
STE-98192,VEND-002,Wagner,Brake pad set front Economy,Steering,309.37,535.23,91,14,9,TIRE-CAGE,0,false,false,,,Negative qty from bad count,2026-02-01
LIG-37742,VEND-003,Motorcraft,Tie rod end,Lighting,490.18,984.48,103,9,4,FLUID-RACK,44.96,false,true,,,,12/12/2025
STE-48823,VEND-003,Monroe,Spark plugs set,Steering,312.87,479.77,1,11,19,A-4-4,17.99,false,true,,562161555272,,01/09/2025
LIG-95456,VEND-001,OEM,Starter Economy,Lighting,637.18,103.1,85,8,4,A-7-7,0,true,false,,,Legacy duplicate SKU?,2024-10-06T13:30
FLU-71313,VEND-002,Denso,Oil filter,Fluids,251.84,170.69,30,3,20,TIRE-CAGE,119.25,true,false,,073561580818,Negative qty from bad count,2025-05-10T13:30
STE-83147,VEND-006,ACDelco,Radiator hose upper,Steering,619.2,690.89,0,13,13,FLUID-RACK,108.61,false,true,,904938402653,Legacy duplicate SKU?,2025-01-27T13:30
BEL-16952,VEND-009,Wagner,Engine air filter,Belts,172.65,430.75,34,9,4,TIRE-CAGE,0,true,false,,930952287964,Negative qty from bad count,08/07/2025
HVA-69754,VEND-005,FleetGuard,Battery 94R,HVAC,193.58,637.12,39,6,8,B-6-8,0,true,true,,488980014724,Negative qty from bad count,2026-04-01
BEL-71683,VEND-001,FleetGuard,Alternator,Belts,220.16,209.7,40,3,21,A-1-10,108.14,true,false,,615755581432,,2025-03-01 13:30:28
BRA-83017,VEND-003,ACDelco,Alternator,Brakes,419.75,164.55,54,3,20,A-10-40,0,true,false,,233841166069,,08/03/2024
HOS-15752,VEND-008,Moog,Starter,Hoses,48.16,714.71,73,7,30,,66.71,false,true,,022294072335,Legacy duplicate SKU?,2025-10-16T13:30
BOD-94498,VEND-009,Bosch,Cabin air filter Premium,Body,333.95,781.02,104,0,4,FLUID-RACK,0,true,false,,,Legacy duplicate SKU?,2025-01-21
BEL-85063,VEND-003,Denso,Wheel seal kit Economy,Belts,33.78,215.96,19,11,5,,0,true,true,,560538393659,Negative qty from bad count,2025-01-01
TIR-12689,VEND-004,Wagner,Spark plugs set,Tires,594.88,231.56,49,9,10,TIRE-CAGE,37.13,true,false,OLD-1622,254796085004,Legacy duplicate SKU?,2024-08-08T13:30
FIL-80886,VEND-004,Wagner,Battery 94R,Filters,153.91,360.7,18,15,21,B-4-3,0,false,false,,928143726338,Core tracked externally,2024-12-10
ENG-60067,VEND-006,FleetGuard,Wheel seal kit HD,Engine,462.97,826.49,107,2,28,TIRE-CAGE,0,false,true,,695148174450,Special order only,2025-10-28T13:30
BRA-33769,VEND-002,Wagner,Radiator hose upper,Brakes,413.13,384.4,97,1,10,A-9-4,0,true,false,,582324408551,Legacy duplicate SKU?,2026-02-10
HVA-18311,VEND-001,OEM,Headlamp bulb,HVAC,325.45,541.34,67,8,19,A-9-36,0,true,true,,896661385108,Special order only,06/14/2024
BEL-31355,VEND-005,ACDelco,Headlamp bulb,Belts,190.71,498.19,33,1,19,B-7-18,15.93,false,false,,,Special order only,2025-01-16
ELE-31542,VEND-005,Wagner,Shock absorber,Electrical,138.81,594.19,71,15,18,,0,false,true,,,Negative qty from bad count,2025-07-22T13:30
FIL-39264,VEND-005,FleetGuard,Oil filter,Filters,137.71,535.7,4,12,19,A-4-23,0,true,false,,651921833624,Core tracked externally,2025-09-24T13:30
HVA-49880,VEND-003,Motorcraft,Cabin air filter,HVAC,556.57,109.44,73,2,6,,0,true,true,,,,2024-05-10 13:30:28
STE-74586,VEND-007,ACDelco,Radiator hose upper,Steering,599.13,652.91,102,7,25,A-11-26,0,true,true,,099189432939,,2025-03-03T13:30
BRA-12850,VEND-007,Motorcraft,Wheel seal kit,Brakes,131.49,306.59,60,9,19,B-6-14,0,true,true,,566219712211,Negative qty from bad count,12/26/2024
TIR-38489,VEND-005,Moog,Headlamp bulb,Tires,437.24,1104.95,99,15,2,FLUID-RACK,0,true,false,OLD-1100,939575837472,Core tracked externally,2026-04-10T13:30
BRA-81650,VEND-005,OEM,Radiator hose upper,Brakes,492.04,985.71,61,5,29,TIRE-CAGE,0,true,true,,,Negative qty from bad count,2024-09-11 13:30:28
TIR-55571,VEND-004,Monroe,Tie rod end,Tires,37.0,238.4,67,15,23,FLUID-RACK,0,true,false,,968090492770,Special order only,2024-07-05T13:30
TIR-51645,VEND-003,Denso,Serpentine belt HD,Tires,524.19,1081.8,71,1,7,A-2-13,0,false,true,,,Legacy duplicate SKU?,2024-10-01T13:30
ELE-28048,VEND-005,Moog,Starter HD,Electrical,254.42,958.03,72,12,10,B-4-1,0,true,true,,116565157767,Legacy duplicate SKU?,06/29/2025
ELE-99490,VEND-001,Bosch,Oil filter Premium,Electrical,527.77,356.85,33,6,18,,0,false,true,OLD-4804,707807890508,Negative qty from bad count,2024-12-14
HVA-19007,VEND-004,Motorcraft,Spark plugs set,HVAC,409.62,96.48,103,15,24,TIRE-CAGE,0,false,false,,995224117327,Core tracked externally,2025-01-22T13:30
BEL-73342,VEND-003,Monroe,Alternator Economy,Belts,72.34,415.86,4,8,20,A-9-25,0,false,true,OLD-3213,,Negative qty from bad count,2025-08-07T13:30
STE-97189,VEND-010,OEM,Spark plugs set Premium,Steering,262.03,577.81,95,11,5,FLUID-RACK,0,true,true,,601478981886,Legacy duplicate SKU?,2025-12-03T13:30
BOD-60528,VEND-003,OEM,Engine air filter,Body,342.75,573.34,94,2,18,A-6-36,0,false,false,,,Legacy duplicate SKU?,2024-12-19T13:30
BOD-14285,VEND-001,FleetGuard,Spark plugs set,Body,346.17,1077.33,53,14,13,FLUID-RACK,0,false,true,,746780342357,Legacy duplicate SKU?,2026-01-10
HOS-60694,VEND-006,OEM,Wheel seal kit Premium,Hoses,365.61,623.49,26,10,22,B-4-4,0,true,false,,304888381575,Legacy duplicate SKU?,2024-09-17
FIL-11677,VEND-009,Motorcraft,DEF fluid 9.46L,Filters,474.46,714.53,47,7,4,B-7-22,0,false,true,,427050128220,Legacy duplicate SKU?,2025-05-26
HOS-97226,VEND-005,Monroe,Tie rod end,Hoses,264.62,155.45,29,9,26,B-2-17,43.43,true,true,,118115457689,,2024-07-01T13:30
HVA-42131,VEND-006,Bosch,Spark plugs set,HVAC,287.1,548.05,7,4,9,,0,false,true,OLD-1955,,Negative qty from bad count,2024-07-01T13:30
ELE-93564,VEND-010,Bosch,Headlamp bulb,Electrical,253.97,1085.67,102,7,20,FLUID-RACK,0,true,true,,,,2024-08-01T13:30
TIR-51546,VEND-003,Moog,Engine air filter,Tires,275.31,403.33,53,9,6,B-8-25,65.92,false,true,,851427224518,,2025-05-21T13:30
TIR-39370,VEND-001,ACDelco,Brake pad set rear Economy,Tires,128.75,1142.59,-2,5,25,B-4-14,0,false,true,OLD-8050,,Special order only,2024-10-16
SUS-85630,VEND-009,Motorcraft,Tie rod end Economy,Suspension,244.6,238.2,75,8,8,FLUID-RACK,0,true,true,,339003564383,Core tracked externally,2025-09-22T13:30
STE-57338,VEND-005,Motorcraft,Brake pad set rear,Steering,90.83,114.83,-3,7,12,B-5-1,0,true,false,,101410672571,Legacy duplicate SKU?,2025-10-31
ELE-72023,VEND-005,Motorcraft,DEF fluid 9.46L,Electrical,626.82,106.62,52,11,30,B-4-7,0,true,true,OLD-9461,,,2025-12-09T13:30
HVA-44881,VEND-004,Motorcraft,Tie rod end,HVAC,126.7,521.64,114,8,18,FLUID-RACK,113.61,false,false,,,Legacy duplicate SKU?,2025-12-18 13:30:28
BEL-94524,VEND-004,Bosch,Radiator hose upper,Belts,514.33,913.76,3,15,8,B-5-12,0,false,false,,646097864741,Special order only,12/18/2025
FLU-80228,VEND-005,NAPA,Brake pad set rear,Fluids,438.61,610.87,65,6,14,,86.99,false,true,,752557634611,Legacy duplicate SKU?,02/10/2026
FLU-24373,VEND-005,Monroe,Brake pad set front Premium,Fluids,204.4,923.18,38,12,0,B-2-6,0,true,true,,593987702983,Core tracked externally,2024-07-24
BOD-86473,VEND-003,Moog,Brake pad set front HD,Body,130.98,114.27,42,4,26,B-7-16,0,false,false,,,Core tracked externally,2024-10-01
FLU-34435,VEND-007,Denso,Wheel seal kit HD,Fluids,449.73,90.44,48,12,15,,0,false,true,,025599539072,,2026-01-04T13:30
STE-23305,VEND-007,Monroe,Headlamp bulb,Steering,352.43,749.5,44,3,19,,0,true,true,,038357100411,Negative qty from bad count,2025-11-12T13:30
HVA-76997,VEND-001,NAPA,Headlamp bulb Premium,HVAC,425.24,215.38,62,1,25,,0,true,true,,794722051931,,2025-08-19T13:30
LIG-25246,VEND-001,FleetGuard,Wheel seal kit,Lighting,421.94,300.33,24,5,12,B-3-23,0,false,false,,655495767966,Core tracked externally,2024-11-06 13:30:28
STE-34359,VEND-005,Moog,Cabin air filter,Steering,180.51,653.41,24,14,13,,0,true,true,,548232885653,,2024-07-11T13:30
BRA-15915,VEND-005,Moog,Radiator hose upper,Brakes,254.8,633.3,85,5,23,B-3-4,0,true,true,,050655890833,Legacy duplicate SKU?,2025-07-10T13:30
LIG-30956,VEND-005,OEM,Brake pad set front,Lighting,8.2,941.23,52,8,0,TIRE-CAGE,0,false,true,,698008289903,,2025-03-22T13:30
HOS-54857,VEND-002,Denso,Starter HD,Hoses,493.53,100.39,85,8,12,TIRE-CAGE,0,true,false,,564990818400,,2025-12-15T13:30
HOS-24607,VEND-002,Wagner,Radiator hose upper,Hoses,72.01,1046.15,90,6,28,FLUID-RACK,0,true,true,,963306519193,Legacy duplicate SKU?,02/13/2026
ELE-18240,VEND-001,OEM,Brake pad set rear,Electrical,126.58,228.7,28,9,20,A-1-24,0,true,false,,148164959447,Special order only,2024-12-28T13:30
BRA-12669,VEND-008,Bosch,Brake pad set front,Brakes,424.19,933.67,59,4,5,B-6-3,116.83,false,false,,456914295172,Core tracked externally,2024-11-29T13:30
BEL-67479,VEND-001,NAPA,Headlamp bulb,Belts,444.0,1045.11,57,0,12,B-7-10,0,false,true,,219142803110,Special order only,08/02/2024
ENG-15369,VEND-001,Denso,Engine air filter,Engine,519.84,1102.05,13,11,3,B-3-25,0,true,true,,991867653831,Negative qty from bad count,2024-06-23T13:30
LIG-39081,VEND-010,Bosch,Alternator Premium,Lighting,209.55,838.59,16,9,1,A-9-6,0,false,true,,753834481529,Special order only,03/15/2025
ENG-33848,VEND-006,Bosch,Headlamp bulb,Engine,382.92,987.17,114,8,24,TIRE-CAGE,0,false,false,,976845266097,Negative qty from bad count,2025-08-08T13:30
BEL-11567,VEND-006,Monroe,Alternator Premium,Belts,534.26,870.41,74,0,25,B-7-7,59.73,false,true,,,,2025-05-14T13:30
ENG-28454,VEND-005,Monroe,Alternator Premium,Engine,494.22,68.48,15,3,3,TIRE-CAGE,94.52,true,true,,165047461399,Negative qty from bad count,2025-07-23 13:30:28
ELE-97606,VEND-010,Bosch,Brake pad set front,Electrical,343.44,559.71,30,1,1,FLUID-RACK,117.35,true,true,,684528544622,Legacy duplicate SKU?,2025-12-27 13:30:28
SUS-36010,VEND-008,FleetGuard,Wheel seal kit,Suspension,459.24,494.94,61,8,13,B-1-25,0,false,false,,671591160724,Negative qty from bad count,2025-12-06T13:30
FIL-51172,VEND-003,OEM,Oil filter Economy,Filters,595.14,237.58,116,5,9,B-6-17,0,false,false,,,,2024-09-28T13:30
BRA-45594,VEND-010,Wagner,Shock absorber Premium,Brakes,559.13,759.01,26,15,6,,0,true,true,,,Legacy duplicate SKU?,2024-06-12T13:30
BEL-30806,VEND-005,Monroe,Starter,Belts,266.32,127.5,54,15,9,B-6-25,0,true,true,,668761870460,Special order only,2025-08-26T13:30
ENG-23705,VEND-003,Monroe,Brake pad set front,Engine,479.06,256.57,31,14,22,TIRE-CAGE,10.81,false,true,,,Legacy duplicate SKU?,2025-12-29T13:30
FIL-42172,VEND-009,OEM,Starter HD,Filters,6.0,242.21,39,7,11,,0,true,true,,448030492515,Core tracked externally,2026-02-13
BOD-23040,VEND-002,Wagner,Radiator hose upper HD,Body,308.51,443.22,93,7,21,TIRE-CAGE,0,true,true,,697408902054,Legacy duplicate SKU?,2025-08-06 13:30:28
HVA-40550,VEND-004,FleetGuard,Battery 94R Economy,HVAC,564.08,584.87,82,7,26,A-10-20,0,false,true,,209956038022,Negative qty from bad count,2026-02-01
HVA-58257,VEND-004,OEM,Headlamp bulb,HVAC,635.71,994.24,97,3,23,B-1-3,0,true,true,OLD-2388,488530533208,,2025-03-28T13:30
HOS-64044,VEND-002,ACDelco,Battery 94R,Hoses,71.95,32.08,107,14,23,FLUID-RACK,22.9,false,false,,762485547335,,04/24/2025
TIR-86161,VEND-008,ACDelco,Radiator hose upper,Tires,272.19,904.15,10,15,3,,0,true,true,,,Core tracked externally,2025-10-01
FLU-19028,VEND-004,Wagner,Brake pad set rear Economy,Fluids,264.32,279.32,70,0,13,TIRE-CAGE,0,true,false,,249838374661,Legacy duplicate SKU?,2024-06-25
BRA-95552,VEND-003,NAPA,Tie rod end,Brakes,214.45,498.77,16,12,28,TIRE-CAGE,0,true,false,,673000499618,,2025-11-07T13:30
FLU-48220,VEND-005,Monroe,Brake pad set rear,Fluids,505.5,746.19,92,14,9,FLUID-RACK,9.88,true,true,,,Special order only,2025-11-18 13:30:28
BOD-99142,VEND-001,FleetGuard,Shock absorber HD,Body,39.79,202.91,93,4,25,B-6-25,0,true,true,,145024740467,Core tracked externally,2025-06-01T13:30
HVA-61479,VEND-007,ACDelco,Alternator,HVAC,166.17,592.11,68,1,17,,104.7,false,true,,,Core tracked externally,2025-09-12 13:30:28
TIR-48892,VEND-001,FleetGuard,Shock absorber,Tires,123.45,358.3,86,2,21,FLUID-RACK,0,true,false,,395924036094,Core tracked externally,2025-11-16T13:30
HOS-98124,VEND-009,NAPA,Alternator Premium,Hoses,331.01,1001.19,101,11,1,B-4-15,22.59,true,false,,,Negative qty from bad count,2025-11-05T13:30
STE-21147,VEND-001,Wagner,Starter,Steering,324.58,44.98,7,3,29,,0,false,true,OLD-7229,,Legacy duplicate SKU?,2025-10-25T13:30
BEL-33298,VEND-009,ACDelco,Brake pad set rear,Belts,137.57,240.16,18,4,4,TIRE-CAGE,0,false,true,,,Legacy duplicate SKU?,2024-10-10 13:30:28
TIR-73457,VEND-006,Motorcraft,Radiator hose upper,Tires,180.7,816.2,53,1,7,,0,true,true,,393606540679,Special order only,2024-07-15T13:30
TIR-99467,VEND-009,Monroe,Headlamp bulb HD,Tires,344.66,739.15,35,8,13,TIRE-CAGE,0,false,true,,727771336087,Negative qty from bad count,2024-08-10
BEL-24000,VEND-001,Monroe,Engine air filter,Belts,480.3,423.21,56,0,8,A-11-21,0,true,true,,500926375105,Core tracked externally,07/08/2024
TIR-72077,VEND-003,FleetGuard,Oil filter,Tires,217.93,23.72,15,12,21,A-6-5,0,true,true,,898321829482,Core tracked externally,2024-08-19 13:30:28
ELE-41235,VEND-006,FleetGuard,Cabin air filter,Electrical,604.25,803.06,3,12,10,TIRE-CAGE,0,false,true,,382082981192,Negative qty from bad count,05/16/2025
FLU-41102,VEND-002,Moog,Headlamp bulb,Fluids,485.54,169.17,65,5,26,,0,true,false,,,Core tracked externally,2025-07-01
BOD-23193,VEND-001,Monroe,Tie rod end,Body,592.43,438.75,103,5,8,,0,false,true,,,Core tracked externally,2025-11-26T13:30
ELE-19534,VEND-001,OEM,Radiator hose upper Premium,Electrical,209.03,620.36,15,5,17,A-4-4,42.2,true,false,,948156463714,,09/09/2024
LIG-52778,VEND-002,Denso,Headlamp bulb,Lighting,356.68,1128.64,36,10,13,TIRE-CAGE,69.58,false,false,,219137266915,Special order only,2025-11-14T13:30
