service_code,service_name,category,default_labor_hours,default_labor_rate,taxable,active,shop_department,recommended_interval_km,recommended_interval_months,description,tags
SVC-0001,Starter Replacement,HVAC,1.2,189.32,true,true,Inspection Lane,,,HD PM template,"inspection, upsell"
SVC-0002,Differential Service,Inspection,6.0,186.89,false,true,General Service,14394,11,Common menu service,"menu, inspection"
SVC-0003,Out of Province Inspection,Inspection,1.5,121.3,false,true,Heavy Duty,31477,19,,
SVC-0004,A/C Performance Check,Brakes,2.3,132.03,true,true,Fleet,37987,8,Legacy canned job from prior system,
SVC-0005,Spark Plug Replacement,Inspection,5.2,153.96,true,true,Inspection Lane,,8,,inspection
SVC-0006,Steering Rack Replacement,HVAC,1.0,142.74,true,false,General Service,,,Bundle item,"inspection, menu"
SVC-0007,Fleet PM A,Driveline,6.6,129.23,false,false,Fleet,,,Common menu service,"upsell, fleet"
SVC-0008,Fuel System Cleaning,Diagnostics,5.6,171.62,true,true,Heavy Duty,20212,13,Legacy canned job from prior system,
SVC-0009,Safety Inspection,Diagnostics,7.3,158.88,false,true,Fleet,28879,,Bundle item,
SVC-0010,Fleet PM C,HVAC,5.5,137.62,false,true,Heavy Duty,37210,8,Bundle item,"inspection, fleet"
SVC-0011,Front Brake Service,Diagnostics,0.9,145.52,true,true,Inspection Lane,,9,Common menu service,"inspection, menu"
SVC-0012,Brake Inspection,Inspection,1.5,180.28,false,false,Inspection Lane,,,Common menu service,fleet
SVC-0013,Spark Plug Replacement,Brakes,5.5,178.71,false,true,Fleet,34676,,,
SVC-0014,Wheel Alignment,Inspection,1.7,182.53,true,true,Fleet,15338,,Common menu service,"menu, upsell"
SVC-0015,A/C Performance Check - HD,HVAC,6.7,130.89,false,true,Heavy Duty,,,HD PM template,fleet
SVC-0016,Oil Change - Standard,Maintenance,6.4,177.6,false,true,General Service,,3,Common menu service,
SVC-0017,Brake Inspection,Inspection,7.3,154.96,false,true,Heavy Duty,22252,5,Common menu service,
SVC-0018,Transmission Service,HVAC,7.5,140.5,false,false,Heavy Duty,26953,3,Legacy canned job from prior system,legacy
SVC-0019,Fleet PM C,HVAC,6.7,151.66,false,false,General Service,,,Common menu service,legacy
SVC-0020,Transfer Case Service,Diagnostics,4.1,150.96,false,true,General Service,,15,Legacy canned job from prior system,inspection
SVC-0021,Tire Rotation,Electrical,4.0,131.9,false,true,General Service,,20,Common menu service,inspection
SVC-0022,Front Brake Service,Brakes,0.6,136.78,false,true,Fleet,20050,,,"fleet, legacy"
SVC-0023,Starter Replacement - Fleet,Maintenance,0.7,116.69,true,true,Fleet,39886,10,,fleet
SVC-0024,Engine Diagnostic,Brakes,5.7,150.87,true,true,General Service,,10,HD PM template,legacy
SVC-0025,Safety Inspection,Inspection,7.4,138.26,true,true,Inspection Lane,30079,12,Legacy canned job from prior system,legacy
SVC-0026,Battery Test,Maintenance,4.5,118.56,true,true,Fleet,16629,,Common menu service,
SVC-0027,Safety Inspection,Diagnostics,3.8,144.77,true,true,Heavy Duty,17291,12,,"inspection, legacy"
SVC-0028,A/C Performance Check - Quick,Inspection,4.3,156.91,true,true,Heavy Duty,27917,22,Common menu service,
SVC-0029,Fleet PM C,Maintenance,4.9,158.9,false,false,Heavy Duty,,,,"upsell, menu"
SVC-0030,Out of Province Inspection,Inspection,7.7,136.21,false,true,Heavy Duty,24733,17,,fleet
SVC-0031,Transmission Service,Driveline,1.0,117.0,true,true,Fleet,21836,7,Legacy canned job from prior system,
SVC-0032,Starter Replacement,Electrical,0.5,163.5,true,true,Inspection Lane,,,Legacy canned job from prior system,menu
SVC-0033,Steering Rack Replacement,Inspection,7.1,174.26,true,false,Fleet,,,HD PM template,
SVC-0034,Transfer Case Service,Engine,1.6,149.97,true,true,Inspection Lane,14580,14,Legacy canned job from prior system,"legacy, upsell"
SVC-0035,Steering Rack Replacement,Brakes,1.2,116.99,false,true,Inspection Lane,31229,7,Legacy canned job from prior system,
SVC-0036,Starter Replacement,Inspection,0.7,115.02,true,true,Inspection Lane,,,Bundle item,"legacy, fleet"
SVC-0037,Suspension Inspection,Electrical,2.8,116.82,false,true,General Service,,,Legacy canned job from prior system,
SVC-0038,Transmission Service,Electrical,6.5,145.86,true,true,Fleet,9343,20,Bundle item,menu
SVC-0039,Safety Inspection,Engine,3.4,164.82,false,true,General Service,20421,18,,"fleet, menu"
SVC-0040,Fleet PM B,Engine,4.6,162.23,false,false,Heavy Duty,,22,Legacy canned job from prior system,fleet
