work_order_id,appointment_id,customer_id,vehicle_id,opened_at,closed_at,status,advisor,assigned_tech,priority,odometer,symptom,cause,correction,labor_hours,labor_sale,parts_sale,shop_supplies,sublet_sale,discount,tax,total,approval_state,payment_state,invoice_number,tags,notes
WO-400000,,CUST-100366,VEH-201131,2026-01-09T03:17,,completed,Lucas Martin,Leo Green,urgent,43403,No crank,Loose tie rod,,14.5,2110.72,746.27,0.11,0,0,142.85,2999.95,approved,paid,INV-500000,brakes,Fleet billing
WO-400001,APPT-300258,CUST-100603,VEH-200181,2025-08-22T03:34,2025-08-24T03:34,closed,Elijah Thompson,Mila King,normal,389030,No crank,,,1.3,234.07,599.59,47.27,0,0,44.05,924.98,approved,unpaid,INV-500001,upsell,Needs comeback follow-up
WO-400002,,CUST-100868,VEH-202037,2025-01-26T08:40,2025-01-31T04:40,completed,Scarlett Torres,Leo Green,low,191279,Vibration,P0420 stored,Installed battery,3.0,369.76,1570.27,94.71,0,0,101.74,2136.48,not_required,partial,INV-500002,"fleet, pm, brakes",Fleet billing
WO-400003,APPT-300862,CUST-101085,VEH-201420,2025-09-11T11:28,2025-09-15T18:28,awaiting_approval,Abigail Thompson,Jade Torres,normal,345479,Pulling left,,Performed PM service,7.5,1025.28,2380.24,129.32,0,0,176.74,3711.58,not_required,written_off,INV-500003,"upsell, diag",Customer approved by text
WO-400004,,CUST-100469,VEH-200652,2024-04-30T02:31,,invoiced,Leo Miller,Edward Moore,low,139486,Overheating,Loose tie rod,Recommended tires,3.2,575.74,649.72,7.78,0,5.51,61.39,1289.12,not_required,paid,,"comeback-risk, pm",
WO-400005,APPT-300862,CUST-101503,VEH-201792,2024-01-07T12:20,2024-01-11T12:20,closed,Mateo Harris,Riley Baker,low,226444,Vibration,Pads below spec,,10.1,1865.33,1604.97,71.97,0,120.73,171.08,3592.62,not_required,partial,INV-500005,"waiter, pm",Fleet billing
WO-400006,,CUST-101243,VEH-201318,2024-11-22T04:48,2024-11-25T01:48,completed,Owen Scott,Ava Smith,low,180656,ABS light,Loose tie rod,Performed PM service,10.0,1661.7,1195.48,23.62,0,0,144.04,3024.84,pending,partial,INV-500006,"diag, pm, brakes",Needs comeback follow-up
WO-400007,,CUST-101129,VEH-202518,2024-11-08T09:38,2024-11-10T19:38,closed,Layla Adams,Noah Robinson,normal,403741,Grinding brakes,Front tires cupped,Replaced front pads/rotors,9.8,1770.03,1632.16,84.75,416.88,0,195.19,4099.01,pending,paid,INV-500007,"fleet, upsell, brakes",Legacy WO imported from old DMS
WO-400008,APPT-300616,CUST-100863,VEH-201966,2025-09-12T19:07,2025-09-15T08:07,invoiced,Maya Davis,Scarlett Clark,low,137632,CEL on,Loose tie rod,Replaced front pads/rotors,11.8,1687.71,1227.92,0.46,0,0,145.8,3061.89,declined,paid,INV-500008,"pm, brakes, diag",Needs comeback follow-up
WO-400009,APPT-300535,CUST-101385,VEH-200461,2023-11-19T05:43,2023-11-20T09:43,awaiting_approval,Noah Walker,Kaitlyn Brown,normal,155928,Oil life low,Battery failed load test,Performed PM service,10.9,1254.5,109.11,6.94,0,0,68.53,1439.08,not_required,unpaid,INV-500009,diag,Customer approved by text
WO-400010,,CUST-100982,VEH-201481,2025-06-24T02:45,2025-06-25T02:45,completed,Mia Martinez,Oliver Young,normal,360626,No crank,P0420 stored,Diagnosed wiring fault,7.4,1088.55,427.91,26.52,0,0,77.15,1620.13,declined,partial,INV-500010,"pm, fleet, comeback-risk",Fleet billing
WO-400011,APPT-300307,CUST-101024,VEH-201909,2023-11-04T14:17,2023-11-07T01:17,awaiting_approval,James White,Mason Clark,urgent,256113,Pulling left,Coolant leak at upper hose,Diagnosed wiring fault,10.6,1915.8,1086.77,85.24,0,142.68,147.26,3092.39,pending,unpaid,INV-500011,,Needs comeback follow-up
WO-400012,,CUST-101402,VEH-201365,2025-05-27T15:14,2025-05-30T11:14,closed,Aiden Wilson,Zoey King,low,256057,No crank,Coolant leak at upper hose,Recommended tires,0.6,98.02,1507.91,105.23,0,0,85.56,1796.72,approved,written_off,INV-500012,,Fleet billing
WO-400013,,CUST-100262,VEH-200040,2024-05-18T08:57,2024-05-21T18:57,closed,Abigail Baker,Finn Nguyen,normal,82877,No crank,Loose tie rod,Installed battery,5.2,684.27,545.95,11.57,0,0,62.09,1303.88,not_required,paid,INV-500013,fleet,Fleet billing
WO-400014,,CUST-100563,VEH-200396,2024-10-05T09:48,2024-10-09T05:48,awaiting_approval,Lucas Johnson,Finn Walker,normal,79084,Vibration,Pads below spec,Replaced hose and topped coolant,2.8,398.43,1606.54,102.24,0,0,105.36,2212.57,not_required,written_off,,waiter,Needs comeback follow-up
WO-400015,,CUST-101781,VEH-200452,2024-08-31T19:48,2024-09-01T10:48,completed,Zoey Nguyen,Mikayla Green,normal,369039,ABS light,Front tires cupped,Diagnosed wiring fault,7.9,1115.95,2002.01,93.99,690.33,129.74,188.63,3961.17,not_required,unpaid,,,Fleet billing
WO-400016,,CUST-101654,VEH-201238,2025-11-19T17:58,2025-11-21T13:58,awaiting_approval,Mikayla Allen,Finn Jones,high,403276,Overheating,,Diagnosed wiring fault,10.9,1818.32,2385.63,144.33,0,0,217.41,4565.69,declined,written_off,INV-500016,"pm, comeback-risk, upsell",Customer approved by text
WO-400017,,CUST-101762,VEH-201418,2025-09-13T23:06,2025-09-16T23:06,completed,Liam Green,Jade Harris,high,61050,Grinding brakes,Battery failed load test,Recommended tires,4.8,727.89,875.92,24.2,0,104.33,76.18,1599.86,pending,unpaid,INV-500017,"comeback-risk, fleet, waiter",Customer approved by text
WO-400018,,CUST-101434,VEH-200048,2026-03-26T13:26,2026-03-28T16:26,invoiced,Nora Jones,Finn Flores,low,319426,Pulling left,,Installed battery,13.7,2268.65,2285.03,122.99,0,0,233.83,4910.5,pending,paid,INV-500018,"brakes, fleet",Legacy WO imported from old DMS
WO-400019,,CUST-101341,VEH-202499,2024-09-27T17:52,2024-10-01T18:52,awaiting_approval,Mila Lewis,Edward Harris,low,206525,No crank,,Replaced front pads/rotors,11.8,1624.56,2159.86,18.74,0,0,190.16,3993.32,approved,paid,INV-500019,"brakes, upsell, fleet",Customer approved by text
WO-400020,APPT-300752,CUST-100169,VEH-200605,2024-02-12T18:48,2024-02-17T07:48,completed,Layla Young,Ava Wright,high,67636,Overheating,Front tires cupped,Recommended tires,9.0,1413.15,362.8,9.75,740.3,0,126.3,2652.3,not_required,partial,INV-500020,"diag, comeback-risk, brakes",Fleet billing
WO-400021,APPT-300833,CUST-100962,VEH-202058,2024-07-07T12:17,2024-07-11T20:17,closed,Scarlett Nguyen,Sophia Nelson,low,399153,PM due,Battery failed load test,Performed PM service,13.2,1557.75,1446.75,109.41,0,0,155.7,3269.61,approved,written_off,INV-500021,pm,Needs comeback follow-up
WO-400022,,CUST-100625,VEH-201847,2024-06-14T08:37,2024-06-16T12:37,completed,Kaitlyn Flores,Mason Hill,low,142872,Pulling left,,Installed battery,9.2,1493.43,354.99,11.78,0,0,93.01,1953.21,approved,written_off,INV-500022,"upsell, comeback-risk",Needs comeback follow-up
WO-400023,,CUST-101589,VEH-202278,2025-11-05T09:56,2025-11-09T16:56,awaiting_approval,Lucas Williams,Elijah Flores,urgent,352623,Overheating,Front tires cupped,Diagnosed wiring fault,3.8,596.4,2014.31,16.47,0,0,131.36,2758.54,not_required,written_off,INV-500023,"brakes, diag, comeback-risk",
